Port_Lincoln	isLocatedIn Australia
Alexandre_Lopes	playsFor	Brazil_national_football_team
Alexandre_Lopes	isAffiliatedTo	S.C._Internacional
Alexandre_Lopes	hasGender	male
Alexandre_Lopes	wasBornIn	Rio_de_Janeiro
La_Rochelle	isLocatedIn	Poitou-Charentes
Varna_Province	isLocatedIn	Varna
Maesteg	isLocatedIn	CF_postcode_area
Sofia_Rotaru	hasMusicalRole	wordnet_vocal_music_107282006
Sofia_Rotaru	hasGender	female
Nicolae_Iorga	graduatedFrom	Leipzig_University
Nicolae_Iorga	playsFor	A.S._Livorno_Calcio
Nicolae_Iorga	isPoliticianOf	Romania
Nicolae_Iorga	wasBornIn	Botoșani
Nicolae_Iorga	influences	Benjamin_Fondane
Nicolae_Iorga	hasGender	male
Nicolae_Iorga	isCitizenOf	Romania
John_Lennon	diedIn	New_York_City
John_Lennon	hasWonPrize	Brit_Awards
John_Lennon	wasBornIn	Liverpool
John_Lennon	influences	Abbie_Hoffman
John_Lennon	hasGender	male
Taunton_Deane	isLocatedIn	United_Kingdom
Gmina_Gródek	isLocatedIn	Białystok_County
José_Ferrer	hasWonPrize	Golden_Globe_Award
José_Ferrer	isMarriedTo	Rosemary_Clooney
José_Ferrer	diedIn	Coral_Gables,_Florida
José_Ferrer	wasBornIn	San_Juan,_Puerto_Rico
José_Ferrer	hasGender	male
José_Ferrer	hasChild	Miguel_Ferrer
José_Ferrer	actedIn	Dune_(film)
John_Halls	isAffiliatedTo	Brentford_F.C.
John_Halls	playsFor	Colchester_United_F.C.
John_Halls	wasBornIn	London
John_Halls	hasGender	male
Nina_Hagen	wasBornIn	East_Berlin
Nina_Hagen	hasGender	female
Mauricio_Pineda	wasBornIn	Buenos_Aires
Mauricio_Pineda	isAffiliatedTo	S.S.C._Napoli
Mauricio_Pineda	playsFor	Club_Atlético_Huracán
Mauricio_Pineda	hasGender	male
Prague	isLocatedIn	Czech_Republic
Angola	hasNeighbor	Namibia
Angola	dealsWith	Brazil
Angola	hasCapital	Luanda
Angola	exports	wordnet_coffee_bean_107929351
Angola	imports	wordnet_food_100021265
Angola	isLocatedIn	Africa
Angola	participatedIn	Second_Congo_War
Aftab_Shivdasani	wasBornIn	Mumbai
Aftab_Shivdasani	hasGender	male
Dallas	owns	Dallas_Love_Field
Dallas	isLocatedIn	Texas
Vancouver	isLocatedIn	British_Columbia
Richard_Jaeckel	actedIn	The_Dirty_Dozen
Richard_Jaeckel	hasGender	male
Richard_Jaeckel	wasBornIn	Long_Beach,_New_York
Richard_Jaeckel	diedIn	Los_Angeles
Nile	isLocatedIn	Sudan
Le_Domaine-du-Roy_Regional_County_Municipality	isLocatedIn	Saguenay-Lac-St-Jean
Newcastle-under-Lyme	isLocatedIn	West_Midlands_(region)
Ehime_Prefecture	isLocatedIn	Shikoku
Herman_J._Mankiewicz	hasGender	male
Herman_J._Mankiewicz	diedIn	Los_Angeles
Herman_J._Mankiewicz	wasBornIn	New_York_City
Maramureș_County	hasCapital	Baia_Mare
Province_of_Salerno	isLocatedIn	Italy
Province_of_Salerno	hasCapital	Salerno
Macina_Cercle	isLocatedIn	Ségou_Region
Duchy_of_Brabant	hasCapital	Leuven
Duchy_of_Brabant	isLocatedIn	Low_Countries
Duchy_of_Brabant	participatedIn	Battle_of_Worringen
Frances_Marion	diedIn	Los_Angeles
Frances_Marion	wasBornIn	San_Francisco
Frances_Marion	hasGender	female
Baja_California_Sur	isLocatedIn	La_Paz,_Baja_California_Sur
Bahrain_International_Airport	isConnectedTo	Mangalore_Airport_(India)
Sollefteå_Municipality	isLocatedIn	Sollefteå
Lasithi	isLocatedIn	Crete
Ricky_Wilde	hasGender	male
Gmina_Siedlce	isLocatedIn	Masovian_Voivodeship
Loudon_Wainwright_III	hasMusicalRole	wordnet_guitar_103467517
Nowy_Targ	isLocatedIn	Lesser_Poland_Voivodeship
West_Azarbaijan_Province	hasCapital	Urmia
West_Azarbaijan_Province	isLocatedIn	Iran
José_Enrique_(footballer)	playsFor	Valencia_CF
José_Enrique_(footballer)	isAffiliatedTo	Celta_de_Vigo
José_Enrique_(footballer)	wasBornIn	Valencia
José_Enrique_(footballer)	hasGender	male
Jennifer_Garner	actedIn	Pearl_Harbor_(film)
Jennifer_Garner	hasGender	female
Jennifer_Garner	hasWonPrize	Golden_Globe_Award
Jennifer_Garner	livesIn	California
Jennifer_Garner	graduatedFrom	Denison_University
Toni_Polster	playsFor	1._Simmeringer_SC
Toni_Polster	isAffiliatedTo	Austria_national_football_team
Toni_Polster	wasBornIn	Vienna
Knjaževac	isLocatedIn	Serbia
Czech_Republic	owns	European_Space_Agency
Czech_Republic	participatedIn	Kosovo_War
Czech_Republic	dealsWith	Slovakia
Czech_Republic	hasCapital	Prague
Czech_Republic	exports	wordnet_chemical_114806838
Czech_Republic	hasNeighbor	Poland
Czech_Republic	imports	wordnet_chemical_114806838
Czech_Republic	isLocatedIn	Europe
Grevenmacher_(district)	hasCapital	Grevenmacher
University_of_Windsor	isLocatedIn	Canada
Gmina_Bodzanów	isLocatedIn	Masovian_Voivodeship
